标题,编号,商家,单价不含税,品名,单位,品牌,规格,发货仓,等级,起售量,联系电话,运费,库存量,图片1,图片2,图片3,页面网址,产品详情
人人国际 SLP 白松板材 38*150*4000 1-4、5,2016101101,山东人人国际贸易有限公司,2000,俄罗斯白松,立方,SLP,38*150*4000,青岛北方木材交易市场,1-4、5,5,18151988444,,300,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghpuCwAUosMvpngUwtgI4_QE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg_KTxvwUokeDN-AcwlwQ4yAE!60x60.jpg,,http://market.anywood.com/h-pd-233.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：SLP产地：俄罗斯等级：1-4、5规格：38*150*4000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包189片，每包尺寸：1.1*1*2.7-6米，每包4.309立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售。联系人：王经理：18151988444商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SLP 白松板材 44*100*4000 1-4、5,2016101009,山东人人国际贸易有限公司,2050,俄罗斯白松,立方,SLP,44*100*4000,青岛北方木材交易市场,1-4、5,5,18151988444,,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgiJaCwAUopInwugMwpwI4-QE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgra3tvwUo_LKH_gEwmgQ4ugE!60x60.jpg,,http://market.anywood.com/h-pd-232.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：SLP产地：俄罗斯等级：1-4、5规格：44*100*4000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包230片，每包尺寸：1.1*1*2.7-6米，每包4.048立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 SOFT 白松板材 50*175*3985 1-4,2016101104,山东人人国际贸易有限公司,2000,俄罗斯白松,立方,SOFT,50*175*3985,青岛北方木材交易市场,1月4日,4,18151988444,,400,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgmLKCwAUolNTmzgIw5wI4pwI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg8KnxvwUomMO05wMwhAQ4xgE!60x60.jpg,,http://market.anywood.com/h-pd-235.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：SOFT产地：俄罗斯等级：1-4规格：50*175*3985加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包120片，每包尺寸：1.1*1*3985米，每包4.18立方米。商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 TRK 樟松龙骨条 35*35*3985 #3,2016101103,山东人人国际贸易有限公司,1750,樟子松,立方,TRK,35*35*3985,青岛北方木材交易市场,#3,4,18151988444,,300,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg1MKRwAUow4K04wMwyAI4oQI!60x60.png,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgx7_RwAUo7KLf4AIwjQI4ywE!60x60.jpg,,http://market.anywood.com/h-pd-234.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：樟松龙骨条品牌：TRK产地：俄罗斯等级：3规格：35*35*3985加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包540-630片，每包尺寸：60*60*3985，每包2.635-3.074立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售价格：1750/立方米批量购买，价格面议。联系人：王经理：18151988444商品价格为仓库提货价，批量购买或有特殊要求请电仪或面议。
人人国际 VLP 白松板材 16*75*2700-6000 1-5,2016101004,山东人人国际贸易有限公司,2000,俄罗斯白松,立方,VLP,16*75*2700-6000,青岛北方木材交易市场,1月5日,5,18151988444,,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg_4GCwAUoiMGBmwMwswI45wE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgip7tvwUogJvV5QYwuQU4oAE!60x60.jpg,,http://market.anywood.com/h-pd-227.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：VLP产地：俄罗斯等级：1-5规格：16*75*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包378-854片，每包尺寸：1.1*1*2.7-6米，每包1.41-5.23立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售。联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 VLP 白松板材 22*100*2700-6000 1-4、5,2016101006,山东人人国际贸易有限公司,2000,俄罗斯白松,立方,VLP,22*100*2700-6000,青岛北方木材交易市场,1-4、5,5,18151988444,,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgj6TtvwUouOH86QMwiQI46gE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgkaTtvwUowoilNTDfAjjlAg!60x60.jpg,,http://market.anywood.com/h-pd-229.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：VLP产地：俄罗斯等级：1-4、5规格：22*100*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包453-459片，每包尺寸：1.1*1*2.7-6米，每包3.03-6.05立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 VLP 白松板材 44*100*2700-6000 1-4、5,2016101007,山东人人国际贸易有限公司,2050,俄罗斯白松,立方,VLP,44*100*2700-6000,青岛北方木材交易市场,1-4、5,5,,,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg2artvwUovPTPiQMwigI4kgI!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1qrtvwUoiLyc5QMwrgM4jgI!60x60.jpg,,http://market.anywood.com/h-pd-230.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：VLP产地：俄罗斯等级：1-4、5规格：44*100*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包230-240片，每包尺寸：1.1*1*2.7-6米，每包3.3-6.1立方米。商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
人人国际 VLP 白松板材 50*100*3900 ?1-4、5,2016101005,山东人人国际贸易有限公司,2050,俄罗斯白松,立方,VLP,50*100*3900,青岛北方木材交易市场,1-4、5,5,18151988444,,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg6p-tvwUo1NrluAIw9QE4-wE!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg7J-tvwUo5KbEajCNAji9Ag!60x60.jpg,,http://market.anywood.com/h-pd-228.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：白松板材品牌：VLP产地：俄罗斯等级：1-4、5规格：50*100*2700-6000加工工艺：烘干到港时间：2016年10月存储仓库：青岛北方木材交易市场仓库地址：山东省青岛市黄岛区黄河东路18号补充描述：（1）存放方式：室内仓存放，货物保存情况良好。（2）货物品质：本批次板材货物新鲜，板材表面光洁，节巴较少，质地上乘。（3）包装情况：每包206-210片，每包尺寸：1.1*1*2.7-6米，每包3.46-6.30立方米商家名称：山东人人国际贸易有限公司交手条件：按包出售，按方计价，1包起售联系人：王经理：18151988444。商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
山东殿宇木业 DY 铁杉板材 3m-4m-5m A,20161218101,山东殿宇木业有限公司,1430,铁杉,立方,DY,3m-4m-5m,山东省临沂市临港开发区隆盛木业A区5号,A,1,14763331888,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxODYwgUolYa8yAEwoAY4jQY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgq_DYwgUo-pnGxwMwgAU41gY!60x60.jpg,,http://market.anywood.com/h-pd-311.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：定制铁杉板材品牌：DY（殿宇）等级：A规格：3m-4m-5m加工工艺：烘干到港时间：2016年12月存储仓库：山东省临沂市临港开发区隆盛木业A区5号补充描述：山东殿宇木业有限公司常年私人订制加工各类铁杉，花旗，辐射松，樟子松成材。商家名称：山东殿宇木业有限公司交手条件：按包出售，按方计价，1包起售联系人：曹经理：14763331888商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
太仓华柏 MM 云杉 13mm x60mm x3980mm B级,20171010002,太仓华柏实业有限公司,1800,云杉,立方,MM,13mm x60mm x3980mm,太仓国丰（北三期）仓库,B级,5,15162595887,,600,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgvvzrvwUos4bYzQMwnwQ4jAM!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgwPzrvwUoiPa43AYw2AU4yQM!60x60.jpg,,http://market.anywood.com/h-pd-225.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：云杉品牌：MM产地：俄罗斯等级：B级规格：13x60x3980mm处理工艺：烘干、毛料到港时间：2016年9月存储仓库：太仓国丰（北三期）仓库补充描述：（1）货物品质：四面见线，节巴少，货物新鲜。（2）包装情况：每包货1367片，每包尺寸13mm x60mm x3980mm，每包4.2437立方商家名称：太仓华柏实业有限公司交手条件：按包出售，按方计价，1包起售联系人：小姚 15162595887商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
拓克加福 SPF 38*140,20161219301,东莞市托克加福贸易有限公司,1700,SPF,立方,康尼,38*140,广州市东源物流有限公司,col,1,15818258555,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAggtXewgUoo-qWjgQwgAo4pQU!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghNXewgUohPPp0wcwoAY4wgM!60x60.jpg,,http://market.anywood.com/h-pd-319.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：SPF品牌：康尼规格：38*140等级：COL存储仓库：广州市东源物流有限公司商家名称：东莞市托克加福贸易有限公司交手条件：按包出售，按方计算，1包起售联系人：郑先生　15818258555商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
祥隆木业 ?芬兰松 ?25*125 32*138 63*125 100*225,2.02E+11,东莞祥隆木业有限公司,2050,芬兰松,立方,metsa Keitele,25*125 32*138 63*125 100*225,大岭山仓库,SF,1,13826945431,视收货地址另算,5000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAguebcwgUosOuxsQUwgAo4wAc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgu_bcwgUo-5SABTDABziACg!60x60.jpg,,http://market.anywood.com/h-pd-318.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：芬兰松品牌：Metsa Keitele规格：25*125 32*138 63*125 100*225等级：SF存储仓库：东莞市大岭山镇厚大路大片美村牌坊旁边商家名称：东莞市祥隆木业有限公司联系人：黄育辉　13826945431商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
鑫众木业 ?辐射松 16-32mm 2.1-4.81,20161213303,佛山市鑫众木业有限公司,2150,辐射松,立方,MASISA,16-32mm 2.1-4.81,吉隆木材市场,col,1,13902830492,视收货地址另算,3000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgxIu_wgUo5ITqVzDYBDigBg!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgx4u_wgUolPOQ2AUwoAY4wQM!60x60.jpg,,http://market.anywood.com/h-pd-306.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,
鑫众木业 SPF 2*6*12,20161207301,鑫众木业,2100,烘干加松,立方,加福CANFOR,2*6*12,东莞市和运隆顺仓储,#J,1,13902830492,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg0fWewgUo9s34wwMw2AQ4oAY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1PWewgUo4qKt0gQwoAY42AQ!60x60.jpg,,http://market.anywood.com/h-pd-294.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,存储仓库：和运隆仓储仓库地址：东莞市大岭山镇百花洞厚大路1号商家名称：鑫众木业交收条件：按方出售联系人：刘先生　　13902830492商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
鑫众木业 SPF 2*10*16,20161207302,鑫众木业,2200,烘干加松,立方,加福CANFOR,2*10*16,东莞市和运隆顺仓储,#J,1,13902830492,视收货地址另算,1000,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgiYSfwgUoiPT7qwEwwAc4gAo!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjISfwgUo1LSi5wcwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-295.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,存储仓库：和运隆仓储仓库地址：东莞市大岭山镇百花洞厚大路一号商家名称：鑫众木业交收条件：按方出售联系人：刘先生　13902830492商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星宝木业 ?辐射松 CMPC 2cm-3.3cm*7.5cm-15cm*2.0m-4.8m,20161219302,东莞市星宝木业有限公司,2450,辐射松板材,立方,CMPC,2cm-3.3cm*7.5cm-15cm*2.0m-4.8m,东莞吉龙木材市场,col,1,13829275917,视收货地址另算,100,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgyPzewgUootr-WzCACjjABw!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgy-zewgUo1K-AxwIwgAo4wAc!60x60.jpg,,http://market.anywood.com/h-pd-320.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：辐射松品牌：CMPC产地;智利等级：COL规格：20/33存储仓库：东莞市吉龙木材市场商家名称：东莞市星宝木业有限公司交手条件：按包出售，按方计价，1包起售联系人：潘先生　13829275917商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 ?黑鸡翅（非洲刚果） 600*100*50,2016102610,星泽林木业,6500,黑鸡翅（非洲刚果）,立方,,600*100*50,太仓长乐库,,1,18964693035,,11,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg0LfAwAUo3rWywgMwlgY4-AM!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg3bfAwAUoiJWQ2AYwoAQ47gM!60x60.png,,http://market.anywood.com/h-pd-273.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑鸡翅（非洲刚果）规格：600*100*50存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业补充描述：100宽合计/180.996m3交收条件：按方计价联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 10-14cm*4.0m,2016101910,星泽林木业,650,澳大利亚辐射松原木,立方,,10-14cm*4.0m,太仓长乐库,,1,18964693035,,32,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1uCcwAUo0IDGygEwkAc4lgc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg6OCcwAUowO6T_gEwwAc4tQc!60x60.jpg,,http://market.anywood.com/h-pd-252.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：10-14cm*4.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 10-14cm*6.0m,2016101906,星泽林木业,720,澳大利亚辐射松原木,立方,,10-14cm*6.0m,太仓长乐库,,1,18964693035,,31,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgmdSbwAUoqt_toQQwkAc4lgc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgpNSbwAUosqKIxgYwwAc4tQc!60x60.jpg,,http://market.anywood.com/h-pd-248.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：10-14cm*6.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 16-20cm*6.0m,2016101907,星泽林木业,720,澳大利亚辐射松原木,立方,,16-20cm*6.0m,太仓长乐库,,1,18964693035,,164,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgjNabwAUogqWivQEwwAc4tAY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgl9abwAUourHatAEwwAc4gQc!60x60.jpg,,http://market.anywood.com/h-pd-249.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：16-20cm*6.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 22-28cm*4.0m,2016101904,星泽林木业,800,澳大利亚辐射松原木,立方,,22-28cm*4.0m,太仓长乐库,,1,18964693035,,48,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgkcybwAUo3LiUqAQwwAc4tQc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgncybwAUo1YirETDABziBBw!60x60.jpg,,http://market.anywood.com/h-pd-246.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：22-28cm*4.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 22-28cm*6.0m,2016101908,星泽林木业,820,澳大利亚辐射松原木,立方,,22-28cm*6.0m,太仓长乐库,,1,18964693035,,87,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg5dqbwAUogIHjvAUwwAc4mQY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAghdubwAUokO-svQQwwAc4wgY!60x60.jpg,,http://market.anywood.com/h-pd-250.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：22-28cm*6.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 30cmUP*6.0m,2016101909,星泽林木业,840,澳大利亚辐射松原木,立方,,30cmUP*6.0m,太仓长乐库,,1,18964693035,,42,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgzIecwAUouLnxgwUwwAc4gQc!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAg1YecwAUoqNqK2gIwwAc45QY!60x60.jpg,,http://market.anywood.com/h-pd-251.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：30cmUP*6.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 澳大利亚辐射松原木 30UP*4.0m,2016101905,星泽林木业,840,澳大利亚辐射松原木,立方,,30cmUP*4.0m,太仓长乐库,,1,18964693035,,7,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgqtGbwAUo-JnRyAcwwAc4tAY!60x60.jpg,http://4107619.s21i.faiusr.com/2/ABUIABACGAAgsdGbwAUolI31HTCQBziWBw!60x60.jpg,,http://market.anywood.com/h-pd-247.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：澳大利亚辐射松原木规格：30cmUP*4.0m存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业交收条件：桉根出售，按方计价，1根起售联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 黑鸡翅（非洲刚果） 120*100*30,2016102612,星泽林木业,6500,黑鸡翅（非洲刚果）,立方,,120*100*30,太仓长乐库,,1,18964693035,,1,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg1r3AwAUojITOkwMwoAQ47gM!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgzr3AwAUo2Ink5AYwlgY4-AM!60x60.png,,http://market.anywood.com/h-pd-275.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑鸡翅（非洲刚果）规格：120*100*30存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业补充描述：100宽合计/180.996m3交收条件：按方计价联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 黑鸡翅（非洲刚果） 470*100*24,2016102607,星泽林木业,6500,黑鸡翅（非洲刚果）,立方,,470*100*24,太仓长乐库,,1,18964693035,,2,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg3LLAwAUoqK-6-wcw-gM4xAM!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAgtrLAwAUozoiTpQYwlgY4-AM!60x60.png,,http://market.anywood.com/h-pd-270.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑鸡翅（非洲刚果）规格：470*100*24存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业补充描述：100宽合计/180.996m3交收条件：按方计价联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 黑鸡翅（非洲刚果） 500*80*24,2016102410,星泽林木业,6500,黑鸡翅（非洲刚果）,立方,,500*80*24,太仓长乐库,,1,18964693035,,23,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg76C3wAUo-vP7mwQw-gM4xAM!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAghqG3wAUopa6HzwMwngQ4jQM!60x60.png,,http://market.anywood.com/h-pd-263.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑鸡翅（非洲刚果）规格：500*80*24存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业补充描述：80宽合计/561.133m3，24厚/23.935m3交收条件：按方计价联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
星泽林木业 黑鸡翅（非洲刚果） 500*80*70,2016102605,星泽林木业,6500,黑鸡翅（非洲刚果）,立方,,500*80*70,太仓长乐库,,1,18964693035,,0,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg_qjAwAUo6PyRyQEw-gM4xAM!60x60.png,http://4107619.s21i.faiusr.com/4/ABUIABAEGAAg8qjAwAUowPjlITCgBDjuAw!60x60.png,,http://market.anywood.com/h-pd-268.html#pfc=%7B%22lid%22%3A1%2C%22sc%22%3A%7B%22key%22%3A%22name%22%2C%22desc%22%3Afalse%7D%7D,品名：黑鸡翅（非洲刚果）规格：500*80*70存储仓库：太仓长乐库仓库地址：江苏省太仓市新港路999号商家名称：星泽林木业补充描述：80宽合计/561.133m3，70厚/4.429m3交收条件：按方计价联系人：施先生 ?18964693035商品价格为仓库提货价，批量购买或有特殊要求请电议或面议。
